gender,regions,education_level,lncome,health_issue,sales(k),earlier_sales(k),quantity_sold
female,group C,associate's degree,standard,no,59,66,67
male,group D,some college,standard,yes,71,61,69
female,group D,some high school,standard,no,76,72,71
female,group C,some college,below standard,no,59,62,64
female,group E,some college,below standard,yes,42,55,54
male,group A,high school,standard,no,57,43,47
male,group D,some college,standard,no,88,73,78
female,group C,some college,below standard,no,22,39,33
male,group B,some high school,standard,no,88,84,75
male,group C,associate's degree,below standard,no,73,68,66
female,group D,bachelor's degree,standard,yes,68,75,81
male,group E,associate's degree,below standard,yes,100,100,93
male,group A,some high school,standard,yes,62,67,69
male,group A,bachelor's degree,standard,no,77,67,68
female,group B,associate's degree,standard,yes,59,70,66
male,group D,bachelor's degree,standard,no,54,49,47
male,group D,some high school,standard,no,62,67,61
female,group C,some college,standard,yes,70,89,88
female,group E,high school,below standard,yes,66,74,78
male,group B,some college,below standard,no,60,60,60
female,group B,associate's degree,standard,yes,61,86,87
male,group D,associate's degree,below standard,no,66,62,64
male,group B,associate's degree,below standard,yes,82,78,74
female,group E,some college,below standard,yes,75,88,85
male,group B,master's degree,below standard,no,49,53,52
male,group C,high school,standard,no,52,53,49
female,group E,master's degree,standard,no,81,92,91
female,group C,bachelor's degree,standard,yes,96,100,100
male,group C,high school,below standard,yes,53,51,51
female,group B,master's degree,below standard,yes,58,76,78
female,group B,high school,standard,yes,68,83,78
female,group C,some college,below standard,yes,67,75,70
male,group A,high school,standard,yes,72,73,74
male,group E,some high school,standard,no,94,88,78
female,group D,some college,standard,no,79,86,81
female,group C,associate's degree,standard,no,63,67,70
female,group C,bachelor's degree,below standard,yes,43,51,54
female,group C,master's degree,standard,yes,81,91,87
female,group B,high school,below standard,yes,46,54,58
female,group C,associate's degree,standard,yes,71,77,77
female,group B,master's degree,below standard,yes,52,70,62
female,group D,some high school,standard,yes,97,100,100
male,group C,master's degree,below standard,yes,62,68,75
female,group C,some college,below standard,no,46,64,66
female,group E,high school,standard,no,50,50,47
female,group D,associate's degree,standard,no,65,69,70
male,group C,some high school,below standard,yes,45,52,49
male,group C,associate's degree,below standard,yes,65,67,65
male,group E,high school,standard,no,80,76,65
male,group D,some high school,standard,yes,62,66,68
male,group B,some high school,below standard,no,48,52,45
female,group C,bachelor's degree,standard,no,77,88,87
female,group E,associate's degree,standard,no,66,65,69
male,group D,some college,standard,yes,76,83,79
female,group B,some high school,standard,no,62,64,66
male,group D,some college,standard,yes,77,62,62
female,group C,master's degree,standard,yes,69,84,85
male,group D,associate's degree,standard,no,61,55,52
male,group C,some high school,below standard,yes,59,69,65
male,group E,high school,below standard,no,55,56,51
female,group B,some college,below standard,no,45,53,55
female,group B,bachelor's degree,below standard,no,78,79,76
female,group C,associate's degree,standard,yes,67,84,86
female,group D,some college,below standard,no,65,81,77
male,group C,associate's degree,standard,no,69,77,69
female,group B,associate's degree,standard,no,57,69,68
male,group C,some college,standard,no,59,41,42
male,group D,some high school,standard,yes,74,71,78
male,group E,bachelor's degree,standard,no,82,62,62
male,group E,high school,standard,yes,81,80,76
female,group B,some college,below standard,no,74,81,76
female,group B,some college,below standard,no,58,61,66
male,group D,some high school,below standard,yes,80,79,79
male,group C,some college,below standard,no,35,28,27
female,group C,high school,below standard,no,42,62,60
male,group C,associate's degree,below standard,yes,60,51,56
male,group E,high school,standard,yes,87,91,81
male,group B,some high school,standard,yes,84,83,75
female,group E,associate's degree,below standard,yes,83,86,88
female,group C,high school,below standard,no,34,42,39
male,group B,high school,below standard,no,66,77,70
male,group B,some high school,standard,yes,61,56,56
female,group D,high school,standard,yes,56,68,74
male,group B,associate's degree,standard,no,87,85,73
female,group C,some high school,below standard,no,55,65,62
male,group D,some high school,standard,no,86,80,75
female,group B,associate's degree,standard,yes,52,66,73
female,group E,master's degree,below standard,no,45,56,54
female,group C,some college,standard,no,72,72,71
male,group D,high school,standard,no,57,50,54
male,group A,some high school,below standard,no,68,72,64
female,group C,some college,standard,yes,88,95,94
male,group D,some college,standard,no,76,64,66
male,group C,associate's degree,standard,no,46,43,42
female,group B,bachelor's degree,standard,no,67,86,83
male,group E,some high school,standard,no,92,87,78
male,group C,bachelor's degree,standard,yes,83,82,84
male,group D,associate's degree,standard,no,80,75,77
male,group D,bachelor's degree,below standard,no,63,66,67
female,group D,some high school,standard,yes,64,60,74
male,group B,some college,standard,no,54,52,51
male,group C,associate's degree,standard,no,84,80,80
male,group D,high school,below standard,yes,73,68,66
female,group E,bachelor's degree,standard,no,80,83,83
female,group D,high school,standard,no,56,52,55
male,group E,some college,standard,no,59,51,43
male,group D,some high school,standard,no,75,74,69
male,group C,associate's degree,standard,no,85,76,71
male,group E,associate's degree,standard,no,89,76,74
female,group B,high school,standard,yes,58,70,68
female,group B,high school,standard,no,65,64,62
male,group C,high school,standard,no,68,60,53
male,group A,some high school,standard,yes,47,49,49
female,group D,some college,below standard,no,71,83,83
female,group B,some high school,standard,yes,60,70,70
male,group D,master's degree,standard,no,80,80,72
male,group D,high school,standard,no,54,52,52
female,group E,some college,standard,no,62,73,70
female,group C,associate's degree,below standard,no,64,73,68
male,group C,associate's degree,standard,yes,78,77,77
female,group B,some college,standard,no,70,75,78
female,group C,master's degree,below standard,yes,65,81,81
female,group C,some high school,below standard,yes,64,79,77
male,group C,some college,standard,yes,79,79,78
female,group C,some high school,below standard,no,44,50,51
female,group E,high school,standard,no,99,93,90
male,group D,high school,standard,no,76,73,68
male,group D,some high school,below standard,no,59,42,41
female,group C,bachelor's degree,standard,no,63,75,81
female,group D,high school,standard,no,69,72,77
female,group D,associate's degree,standard,yes,88,92,95
female,group E,some college,below standard,no,71,76,70
male,group C,bachelor's degree,standard,no,69,63,61
male,group C,some college,standard,no,58,49,42
female,group D,associate's degree,below standard,no,47,53,58
female,group D,some college,standard,no,65,70,71
male,group B,some college,standard,yes,88,85,76
male,group C,bachelor's degree,standard,no,83,78,73
female,group C,some high school,standard,yes,85,92,93
female,group E,high school,standard,yes,59,63,75
female,group C,some high school,below standard,no,65,86,80
male,group B,bachelor's degree,below standard,no,73,56,57
male,group D,high school,standard,no,53,52,42
male,group D,high school,standard,no,45,48,46
female,group D,bachelor's degree,below standard,no,73,79,84
female,group D,some college,below standard,yes,70,78,78
female,group B,some high school,standard,no,37,46,46
male,group B,associate's degree,standard,yes,81,82,82
male,group E,associate's degree,standard,yes,97,82,88
female,group B,some high school,standard,no,67,89,82
male,group B,bachelor's degree,below standard,no,88,75,76
male,group E,some high school,standard,yes,77,76,77
male,group C,associate's degree,standard,no,76,70,68
male,group D,some high school,standard,no,86,73,70
male,group C,some high school,standard,yes,63,60,57
female,group E,bachelor's degree,standard,no,65,73,75
male,group D,high school,below standard,yes,78,77,80
male,group B,associate's degree,below standard,no,67,62,60
male,group A,some high school,standard,yes,46,41,43
male,group E,associate's degree,standard,yes,71,74,68
male,group C,high school,below standard,yes,40,46,50
male,group D,associate's degree,below standard,no,90,87,75
male,group A,some college,below standard,yes,81,78,81
male,group D,some high school,below standard,no,56,54,52
female,group C,associate's degree,standard,yes,67,84,81
male,group B,associate's degree,standard,no,80,76,64
female,group C,associate's degree,standard,yes,74,75,83
male,group A,some college,standard,no,69,67,69
male,group E,some college,standard,yes,99,87,81
male,group C,some high school,standard,no,51,52,44
female,group B,associate's degree,below standard,no,53,71,67
female,group D,high school,below standard,no,49,57,52
female,group B,associate's degree,standard,no,73,76,80
male,group B,bachelor's degree,standard,no,66,60,57
male,group D,bachelor's degree,standard,yes,67,61,68
female,group C,associate's degree,below standard,yes,68,67,69
female,group C,bachelor's degree,standard,yes,59,64,75
male,group C,high school,standard,no,71,66,65
female,group D,master's degree,standard,yes,77,82,91
male,group C,associate's degree,standard,no,83,72,78
male,group B,bachelor's degree,standard,no,63,71,69
female,group D,associate's degree,below standard,no,56,65,63
female,group C,high school,below standard,yes,67,79,84
female,group E,high school,standard,no,75,86,79
female,group C,some college,standard,no,71,81,80
female,group C,some high school,below standard,no,43,53,53
female,group C,high school,below standard,no,41,46,43
female,group C,some college,standard,no,82,90,94
male,group C,some college,standard,no,61,61,62
male,group A,some college,below standard,no,28,23,19
male,group C,associate's degree,standard,yes,82,75,77
female,group B,some high school,standard,no,41,55,51
male,group C,high school,standard,no,71,60,61
male,group C,associate's degree,standard,no,47,37,35
male,group E,associate's degree,standard,yes,62,56,53
male,group B,associate's degree,standard,no,90,78,81
female,group C,bachelor's degree,standard,no,83,93,95
female,group B,some college,below standard,no,61,68,66
male,group D,some high school,standard,yes,76,70,69
male,group C,associate's degree,standard,no,49,51,43
female,group B,some high school,below standard,no,24,38,27
female,group D,some high school,below standard,yes,35,55,60
male,group C,high school,below standard,no,58,61,52
female,group C,high school,standard,no,61,73,63
female,group B,high school,standard,yes,69,76,74
male,group D,associate's degree,standard,yes,67,72,67
male,group D,some college,standard,no,79,73,67
female,group C,high school,standard,no,72,80,75
male,group B,some college,standard,no,62,61,57
female,group C,bachelor's degree,standard,yes,77,94,95
male,group D,high school,below standard,no,75,74,66
male,group E,associate's degree,standard,no,87,74,76
female,group B,bachelor's degree,standard,no,52,65,69
male,group E,some college,standard,no,66,57,52
female,group C,some college,standard,yes,63,78,80
female,group C,associate's degree,standard,no,46,58,57
female,group C,some college,standard,no,59,71,70
female,group B,bachelor's degree,standard,no,61,72,70
male,group A,associate's degree,standard,no,63,61,61
female,group C,some college,below standard,yes,42,66,69
male,group D,some college,below standard,no,59,62,61
female,group D,some college,standard,no,80,90,89
female,group B,high school,standard,no,58,62,59
male,group B,some high school,standard,yes,85,84,78
female,group C,some college,standard,no,52,58,58
female,group D,some high school,below standard,no,27,34,32
male,group C,some college,standard,no,59,60,58
male,group A,bachelor's degree,below standard,yes,49,58,60
male,group C,high school,standard,yes,69,58,53
male,group C,bachelor's degree,below standard,no,61,66,61
female,group A,some high school,below standard,no,44,64,58
female,group D,some high school,standard,no,73,84,85
male,group E,some college,standard,no,84,77,71
female,group C,some college,below standard,yes,45,73,70
male,group D,some high school,standard,no,74,74,72
female,group D,some college,standard,yes,82,97,96
female,group D,bachelor's degree,standard,no,59,70,73
male,group E,associate's degree,below standard,no,46,43,41
female,group D,some high school,standard,no,80,90,82
female,group D,master's degree,below standard,yes,85,95,100
female,group A,some high school,standard,no,71,83,77
male,group A,bachelor's degree,standard,no,66,64,62
female,group B,associate's degree,standard,no,80,86,83
male,group C,associate's degree,standard,yes,87,100,95
male,group C,master's degree,below standard,no,79,81,71
female,group E,some high school,below standard,no,38,49,45
female,group A,some high school,below standard,no,38,43,43
female,group E,some college,standard,no,67,76,75
female,group E,bachelor's degree,standard,no,64,73,70
female,group C,associate's degree,below standard,no,57,78,67
female,group D,high school,standard,no,62,64,64
male,group D,master's degree,standard,no,73,70,75
male,group E,some high school,below standard,yes,73,67,59
female,group D,some college,standard,no,77,68,77
male,group E,some college,standard,no,76,67,67
male,group C,associate's degree,standard,yes,57,54,56
female,group C,some high school,standard,yes,65,74,77
male,group A,high school,below standard,no,48,45,41
female,group B,high school,below standard,no,50,67,63
female,group C,associate's degree,standard,no,85,89,95
male,group B,some high school,standard,no,74,63,57
male,group D,some high school,standard,no,60,59,54
female,group C,some high school,standard,yes,59,54,67
male,group A,some college,standard,no,53,43,43
female,group A,some college,below standard,no,49,65,55
female,group D,high school,standard,yes,88,99,100
female,group C,high school,standard,no,54,59,62
female,group C,some high school,standard,no,63,73,68
male,group B,associate's degree,standard,yes,65,65,63
female,group B,associate's degree,standard,no,82,80,77
female,group D,high school,below standard,yes,52,57,56
male,group D,associate's degree,standard,yes,87,84,85
female,group D,master's degree,standard,yes,70,71,74
male,group E,some college,standard,yes,84,83,78
male,group D,associate's degree,standard,no,71,66,60
male,group B,some high school,standard,yes,63,67,67
female,group C,bachelor's degree,below standard,yes,51,72,79
male,group E,high school,standard,no,84,73,69
male,group C,bachelor's degree,standard,yes,71,74,68
male,group C,associate's degree,standard,no,74,73,67
male,group D,some college,standard,no,68,59,62
male,group E,high school,below standard,yes,57,56,54
female,group C,associate's degree,below standard,yes,82,93,93
female,group D,high school,standard,yes,57,58,64
female,group D,master's degree,below standard,yes,47,58,67
female,group A,some high school,standard,yes,59,85,80
male,group B,some college,below standard,no,41,39,34
female,group C,some college,below standard,no,62,67,62
male,group C,bachelor's degree,standard,no,86,83,86
male,group C,some high school,below standard,no,69,71,65
male,group A,some high school,below standard,no,65,59,53
male,group C,some high school,below standard,no,68,63,54
male,group C,associate's degree,below standard,no,64,66,59
female,group C,high school,standard,no,61,72,70
male,group C,high school,standard,no,61,56,55
female,group A,some high school,below standard,no,47,59,50
male,group C,some high school,standard,no,73,66,66
male,group C,some college,below standard,yes,50,48,53
male,group D,associate's degree,standard,no,75,68,64
male,group D,associate's degree,below standard,no,75,66,73
male,group C,high school,standard,no,70,56,51
male,group D,some high school,standard,yes,89,88,82
female,group C,some college,standard,yes,67,81,79
female,group D,high school,standard,no,78,81,80
female,group A,some high school,below standard,no,59,73,69
female,group B,associate's degree,standard,no,73,83,76
male,group A,some high school,below standard,no,79,82,73
female,group C,some high school,standard,yes,67,74,77
male,group D,some college,below standard,no,69,66,60
male,group C,high school,standard,yes,86,81,80
male,group B,high school,standard,no,47,46,42
male,group B,associate's degree,standard,no,81,73,72
female,group C,some college,below standard,yes,64,85,85
female,group E,some college,standard,no,100,92,97
female,group C,associate's degree,below standard,no,65,77,74
male,group C,some college,below standard,no,65,58,49
female,group C,associate's degree,below standard,no,53,61,62
male,group C,bachelor's degree,below standard,no,37,56,47
female,group D,bachelor's degree,standard,no,79,89,89
male,group D,associate's degree,below standard,no,53,54,48
female,group E,bachelor's degree,standard,no,100,100,100
male,group B,high school,standard,yes,72,65,68
male,group C,bachelor's degree,below standard,no,53,58,55
male,group B,some college,below standard,no,54,54,45
female,group E,some college,standard,no,71,70,76
female,group C,some college,below standard,no,77,90,91
male,group A,bachelor's degree,standard,yes,75,58,62
female,group C,some college,standard,no,84,87,91
female,group D,associate's degree,below standard,no,26,31,38
male,group A,high school,below standard,yes,72,67,65
female,group A,high school,below standard,yes,77,88,85
male,group C,some college,standard,no,91,74,76
female,group C,associate's degree,standard,yes,83,85,90
female,group C,high school,standard,no,63,69,74
female,group C,associate's degree,standard,yes,68,86,84
female,group D,some high school,standard,no,59,67,61
female,group B,associate's degree,standard,yes,90,90,91
female,group D,bachelor's degree,standard,yes,71,76,83
male,group E,bachelor's degree,standard,yes,76,62,66
male,group D,associate's degree,standard,no,80,68,72
female,group D,master's degree,standard,no,55,64,70
male,group E,associate's degree,standard,no,76,71,67
male,group B,high school,standard,yes,73,71,68
female,group D,associate's degree,below standard,no,52,59,56
male,group C,some college,below standard,no,68,68,61
male,group A,high school,standard,no,59,52,46
female,group B,associate's degree,standard,no,49,52,54
male,group C,high school,standard,no,70,74,71
male,group D,some college,below standard,no,61,47,56
female,group C,associate's degree,below standard,no,60,75,74
male,group B,some high school,standard,yes,64,53,57
male,group A,associate's degree,below standard,yes,79,82,82
female,group A,associate's degree,below standard,no,65,85,76
female,group C,associate's degree,standard,no,64,64,70
female,group C,some college,standard,no,83,83,90
female,group C,bachelor's degree,standard,no,81,88,90
female,group B,high school,standard,no,54,64,68
male,group D,high school,standard,yes,68,64,66
female,group C,some college,standard,no,54,48,52
female,group D,some college,below standard,yes,59,78,76
female,group B,some high school,standard,no,66,69,68
male,group E,some college,standard,no,76,71,72
female,group D,master's degree,standard,no,74,79,82
female,group B,associate's degree,standard,yes,94,87,92
male,group C,some college,below standard,no,63,61,54
female,group E,associate's degree,standard,yes,95,89,92
female,group D,master's degree,below standard,no,40,59,54
female,group B,some high school,standard,no,82,82,80
male,group A,high school,standard,no,68,70,66
male,group B,bachelor's degree,below standard,no,55,59,54
male,group C,master's degree,standard,no,79,78,77
female,group C,bachelor's degree,standard,no,86,92,87
male,group D,some college,standard,no,76,71,73
male,group A,some high school,standard,no,64,50,43
male,group D,some high school,below standard,no,62,49,52
female,group B,some high school,standard,yes,54,61,62
female,group B,master's degree,below standard,yes,77,97,94
female,group C,some high school,standard,yes,76,87,85
female,group D,some college,standard,no,74,89,84
female,group E,some college,standard,yes,66,74,73
female,group D,some high school,standard,yes,66,78,78
female,group B,high school,below standard,yes,67,78,79
male,group D,some college,standard,no,71,49,52
female,group C,associate's degree,standard,no,91,86,84
male,group D,bachelor's degree,standard,no,69,58,57
male,group C,master's degree,below standard,no,54,59,50
male,group C,high school,standard,yes,53,52,49
male,group E,some college,standard,no,68,60,59
male,group C,some high school,below standard,yes,56,61,60
female,group C,high school,below standard,no,36,53,43
female,group D,bachelor's degree,below standard,no,29,41,47
female,group C,associate's degree,standard,no,62,74,70
female,group C,associate's degree,standard,yes,68,67,73
female,group C,some high school,standard,no,47,54,53
male,group E,associate's degree,standard,yes,62,61,58
female,group E,associate's degree,standard,yes,79,88,94
male,group B,high school,standard,yes,73,69,68
female,group C,bachelor's degree,below standard,yes,66,83,83
male,group C,associate's degree,standard,yes,51,60,58
female,group D,high school,standard,no,51,66,62
male,group E,bachelor's degree,standard,yes,85,66,71
male,group A,associate's degree,standard,yes,97,92,86
male,group C,high school,standard,yes,75,69,68
male,group D,associate's degree,below standard,yes,79,82,80
female,group C,associate's degree,standard,no,81,77,79
female,group D,associate's degree,standard,no,82,95,89
female,group D,master's degree,standard,no,64,63,66
male,group E,some high school,below standard,yes,78,83,80
female,group A,some high school,standard,yes,92,100,97
male,group C,high school,standard,yes,72,67,64
female,group C,high school,below standard,no,62,67,64
male,group C,master's degree,standard,no,79,72,69
male,group C,some high school,below standard,no,79,76,65
male,group B,bachelor's degree,below standard,yes,87,90,88
female,group B,associate's degree,standard,no,40,48,50
male,group D,some college,below standard,no,77,62,64
male,group E,associate's degree,standard,no,53,45,40
female,group C,some college,below standard,no,32,39,33
female,group C,associate's degree,standard,yes,55,72,79
male,group C,master's degree,below standard,no,61,67,66
female,group B,associate's degree,below standard,no,53,70,70
male,group D,some high school,standard,no,73,66,62
female,group D,some college,standard,yes,74,75,79
female,group C,some college,standard,no,63,74,74
male,group C,bachelor's degree,standard,yes,96,90,92
female,group D,some college,below standard,yes,63,80,80
male,group B,bachelor's degree,below standard,no,48,51,46
male,group B,associate's degree,standard,no,48,43,45
female,group E,bachelor's degree,below standard,yes,92,100,100
female,group D,master's degree,below standard,yes,61,71,78
male,group B,high school,below standard,no,63,48,47
male,group D,bachelor's degree,below standard,no,68,68,67
male,group B,some college,standard,yes,71,75,70
male,group A,bachelor's degree,standard,no,91,96,92
female,group C,some college,standard,no,53,62,56
female,group C,high school,below standard,yes,50,66,64
female,group E,high school,standard,no,74,81,71
male,group A,associate's degree,below standard,yes,40,55,53
male,group A,some college,standard,yes,61,51,52
female,group B,high school,standard,no,81,91,89
female,group B,some college,below standard,yes,48,56,58
female,group D,master's degree,standard,no,53,61,68
female,group D,some high school,standard,no,81,97,96
female,group E,some high school,standard,no,77,79,80
female,group D,bachelor's degree,below standard,no,63,73,78
female,group D,associate's degree,standard,yes,73,75,80
female,group D,some college,standard,no,69,77,77
female,group C,associate's degree,standard,no,65,76,76
female,group A,high school,standard,no,55,73,73
female,group C,bachelor's degree,below standard,no,44,63,62
female,group C,some college,standard,no,54,64,65
female,group A,some high school,standard,no,48,66,65
male,group C,some college,below standard,no,58,57,54
male,group A,some high school,standard,no,71,62,50
male,group E,bachelor's degree,standard,no,68,68,64
female,group E,high school,standard,no,74,76,73
female,group C,bachelor's degree,standard,yes,92,100,99
female,group C,bachelor's degree,standard,yes,56,79,72
male,group B,high school,below standard,no,30,24,15
male,group A,some high school,standard,no,53,54,48
female,group D,high school,standard,no,69,77,73
female,group D,some high school,standard,no,65,82,81
female,group D,master's degree,standard,no,54,60,63
female,group C,high school,standard,no,29,29,30
female,group E,some college,standard,no,76,78,80
male,group D,high school,below standard,no,60,57,51
male,group D,master's degree,below standard,yes,84,89,90
male,group C,some high school,standard,no,75,72,62
female,group C,associate's degree,standard,no,85,84,82
female,group C,master's degree,below standard,no,40,58,54
female,group E,some college,standard,no,61,64,62
female,group B,associate's degree,standard,no,58,63,65
male,group D,some college,below standard,yes,69,60,63
female,group C,some college,standard,no,58,59,66
male,group C,bachelor's degree,standard,yes,94,90,91
female,group C,associate's degree,standard,no,65,77,74
female,group A,associate's degree,standard,no,82,93,93
female,group C,high school,standard,no,60,68,72
female,group E,bachelor's degree,standard,no,37,45,38
male,group D,bachelor's degree,standard,no,88,78,83
male,group D,master's degree,standard,no,95,81,84
male,group C,associate's degree,below standard,yes,65,73,68
female,group C,high school,below standard,no,35,61,54
male,group B,bachelor's degree,below standard,no,62,63,56
male,group C,high school,below standard,yes,58,51,52
male,group A,some college,standard,yes,100,96,86
female,group E,bachelor's degree,below standard,no,61,58,62
male,group D,some college,standard,yes,100,97,99
male,group B,associate's degree,below standard,yes,69,70,63
male,group D,associate's degree,standard,no,61,48,46
male,group D,some college,below standard,no,49,57,46
female,group C,some high school,standard,yes,44,51,55
male,group D,some college,standard,no,67,64,70
male,group B,high school,standard,no,79,60,65
female,group B,bachelor's degree,standard,yes,66,74,81
female,group C,high school,standard,no,75,88,85
male,group D,some high school,standard,no,84,84,80
male,group A,high school,standard,no,71,74,64
female,group B,high school,below standard,yes,67,80,81
female,group D,some high school,standard,yes,80,92,88
male,group E,some college,standard,no,86,76,74
female,group D,associate's degree,standard,no,76,74,73
male,group D,high school,standard,no,41,52,51
female,group D,associate's degree,below standard,yes,74,88,90
female,group B,some high school,below standard,no,72,81,79
female,group E,high school,standard,yes,74,79,80
male,group B,high school,standard,no,70,65,60
female,group B,bachelor's degree,standard,yes,65,81,81
female,group D,associate's degree,standard,no,59,70,65
female,group E,high school,below standard,no,64,62,68
female,group B,high school,standard,no,50,53,55
female,group D,some college,standard,yes,69,79,81
male,group C,some high school,below standard,yes,51,56,53
female,group A,high school,standard,yes,68,80,76
female,group D,some college,standard,yes,85,86,98
